Age,Gender,Income,Education,Occupation
20-29,Any,Low,Bachelors,Exec-managerial
30-39,Female,Low,Bachelors,Prof-specialty
50-59,Male,High,Doctorate,Prof-specialty
20-29,Female,Low,10th,Other-service
20-29,Male,Low,Some-college,Farming-fishing
40-49,Any,Low,7th-8th,Other-service
50-59,Any,High,Masters,Prof-specialty
30-39,Male,Low,12th,Transport-moving
30-39,Any,High,Some-college,Prof-specialty
30-39,Any,High,Bachelors,Prof-specialty
20-29,Any,Low,HS-grad,Craft-repair
20-29,Any,Low,Bachelors,Prof-specialty
30-39,Male,High,Bachelors,Sales
40-49,Male,Low,Bachelors,Exec-managerial
20-29,Male,Low,HS-grad,Prof-specialty
60-69,Any,High,Bachelors,Exec-managerial
20-29,Male,Low,10th,Craft-repair
30-39,Any,Low,Some-college,Adm-clerical
30-39,Female,Low,HS-grad,Sales
20-29,Male,Low,Bachelors,Craft-repair
50-59,Male,Low,HS-grad,Machine-op-inspct
30-39,Any,Low,Some-college,Adm-clerical
30-39,Male,High,Bachelors,Craft-repair
30-39,Any,Low,HS-grad,Transport-moving
30-39,Any,Low,Some-college,Craft-repair
30-39,Female,Low,Some-college,Other-service
20-29,Female,Low,Some-college,Other-service
40-49,Any,Low,HS-grad,Sales
40-49,Male,High,Bachelors,Exec-managerial
40-49,Any,Low,Some-college,Craft-repair
20-29,Any,Low,HS-grad,Other-service
40-49,Male,High,Bachelors,Sales
30-39,Female,Low,Bachelors,Adm-clerical
40-49,Female,High,HS-grad,Exec-managerial
50-59,Male,High,Bachelors,Sales
60-69,Any,Low,5th-6th,Farming-fishing
20-29,Any,Low,Some-college,Other-service
30-39,Male,Low,HS-grad,Farming-fishing
70-79,Female,Low,HS-grad,Other-service
10-19,Male,Low,HS-grad,Other-service
20-29,Male,Low,Some-college,Adm-clerical
20-29,Female,Low,Some-college,Sales
20-29,Any,Low,HS-grad,Craft-repair
40-49,Male,High,HS-grad,Transport-moving
50-59,Male,Low,Masters,Prof-specialty
30-39,Male,Low,Some-college,Protective-serv
20-29,Female,Low,HS-grad,Other-service
20-29,Female,Low,HS-grad,Sales
20-29,Any,Low,Some-college,Craft-repair
40-49,Female,Low,10th,Sales
20-29,Female,Low,Some-college,Other-service
50-59,Male,Low,Some-college,Sales
40-49,Female,Low,HS-grad,Adm-clerical
70-79,Male,High,Masters,Exec-managerial
10-19,Any,Low,Some-college,Adm-clerical
30-39,Any,Low,12th,Other-service
30-39,Male,High,Bachelors,Craft-repair
20-29,Male,Low,Assoc-acdm,Other-service
30-39,Any,Low,7th-8th,Farming-fishing
50-59,Any,High,Bachelors,Prof-specialty
30-39,Female,High,Prof-school,Prof-specialty
30-39,Male,Low,HS-grad,Handlers-cleaners
40-49,Any,Low,Some-college,Exec-managerial
20-29,Male,Low,Some-college,Protective-serv
40-49,Female,High,Some-college,Exec-managerial
50-59,Any,Low,HS-grad,Craft-repair
20-29,Any,Low,Masters,Sales
20-29,Male,Low,Some-college,Adm-clerical
40-49,Male,Low,Bachelors,Tech-support
30-39,Any,Low,Some-college,Other-service
30-39,Male,Low,Some-college,Machine-op-inspct
30-39,Male,Low,Some-college,Craft-repair
40-49,Any,Low,HS-grad,Craft-repair
30-39,Any,Low,Some-college,Exec-managerial
30-39,Any,Low,HS-grad,Transport-moving
70-79,Male,Low,HS-grad,Prof-specialty
40-49,Any,Low,HS-grad,Craft-repair
30-39,Any,Low,HS-grad,Machine-op-inspct
40-49,Male,Low,7th-8th,Craft-repair
30-39,Female,Low,HS-grad,Sales
30-39,Any,Low,Some-college,Protective-serv
30-39,Any,High,HS-grad,Adm-clerical
40-49,Female,Low,Some-college,Other-service
20-29,Male,Low,Some-college,Farming-fishing
10-19,Any,Low,HS-grad,Adm-clerical
30-39,Male,High,HS-grad,Transport-moving
50-59,Any,High,Masters,Exec-managerial
20-29,Any,Low,Some-college,Machine-op-inspct
30-39,Male,Low,Masters,Tech-support
50-59,Male,High,Some-college,Exec-managerial
50-59,Any,Low,10th,Transport-moving
10-19,Any,Low,9th,Handlers-cleaners
20-29,Female,Low,Some-college,Sales
40-49,Male,Low,Some-college,Craft-repair
70-79,Any,Low,HS-grad,Sales
70-79,Female,Low,Masters,Sales
50-59,Any,Low,10th,Other-service
50-59,Male,Low,HS-grad,Farming-fishing
20-29,Any,Low,Some-college,Other-service
60-69,Any,Low,5th-6th,Other-service
20-29,Any,Low,Some-college,Adm-clerical
30-39,Any,Low,HS-grad,Exec-managerial
40-49,Any,High,Bachelors,Transport-moving
40-49,Any,Low,9th,Handlers-cleaners
20-29,Female,Low,HS-grad,Other-service
30-39,Any,Low,Some-college,Other-service
20-29,Male,Low,9th,Other-service
50-59,Any,High,Bachelors,Sales
40-49,Female,High,Bachelors,Exec-managerial
20-29,Female,Low,HS-grad,Machine-op-inspct
30-39,Male,High,HS-grad,Farming-fishing
50-59,Male,Low,HS-grad,Transport-moving
30-39,Any,Low,Bachelors,Other-service
20-29,Any,Low,Some-college,Handlers-cleaners
30-39,Any,Low,Bachelors,Exec-managerial
40-49,Female,Low,Masters,Sales
30-39,Any,Low,Bachelors,Prof-specialty
60-69,Any,Low,Some-college,Transport-moving
60-69,Any,High,Masters,Exec-managerial
30-39,Male,High,Bachelors,Protective-serv
30-39,Any,High,Bachelors,Sales
30-39,Any,Low,HS-grad,Farming-fishing
30-39,Male,Low,Some-college,Handlers-cleaners
40-49,Any,High,HS-grad,Craft-repair
30-39,Female,Low,Bachelors,Tech-support
60-69,Any,Low,HS-grad,Tech-support
30-39,Any,Low,HS-grad,Exec-managerial
40-49,Any,High,Bachelors,Exec-managerial
60-69,Male,High,HS-grad,Exec-managerial
30-39,Any,Low,Some-college,Transport-moving
40-49,Male,High,Some-college,Sales
30-39,Any,Low,HS-grad,Machine-op-inspct
20-29,Any,Low,Bachelors,Adm-clerical
50-59,Any,Low,HS-grad,Handlers-cleaners
40-49,Male,Low,Assoc-voc,Prof-specialty
30-39,Any,Low,Some-college,Adm-clerical
50-59,Any,High,HS-grad,Protective-serv
30-39,Any,High,HS-grad,Adm-clerical
40-49,Male,High,Bachelors,Prof-specialty
30-39,Any,Low,11th,Farming-fishing
70-79,Any,High,Bachelors,Prof-specialty
20-29,Female,Low,Some-college,Adm-clerical
20-29,Female,Low,HS-grad,Sales
50-59,Any,High,Some-college,Sales
30-39,Any,Low,Some-college,Craft-repair
40-49,Any,High,Bachelors,Exec-managerial
40-49,Male,Low,9th,Machine-op-inspct
10-19,Female,Low,11th,Adm-clerical
30-39,Male,Low,Bachelors,Adm-clerical
20-29,Male,Low,HS-grad,Craft-repair
30-39,Any,High,HS-grad,Exec-managerial
40-49,Any,Low,Some-college,Transport-moving
40-49,Female,Low,Some-college,Sales
30-39,Any,Low,9th,Craft-repair
40-49,Female,Low,Assoc-acdm,Adm-clerical
40-49,Female,High,Prof-school,Exec-managerial
20-29,Male,Low,Masters,Prof-specialty
50-59,Male,Low,5th-6th,Other-service
30-39,Male,High,Assoc-voc,Machine-op-inspct
40-49,Male,High,Bachelors,Sales
20-29,Female,Low,Bachelors,Prof-specialty
40-49,Male,Low,HS-grad,Craft-repair
30-39,Any,Low,Some-college,Adm-clerical
30-39,Male,Low,Bachelors,Adm-clerical
50-59,Male,Low,11th,Machine-op-inspct
10-19,Any,Low,HS-grad,Other-service
40-49,Male,High,Some-college,Adm-clerical
20-29,Any,Low,Assoc-acdm,Machine-op-inspct
40-49,Any,Low,HS-grad,Adm-clerical
50-59,Male,Low,HS-grad,Craft-repair
20-29,Male,Low,Some-college,Sales
50-59,Male,Low,Masters,Exec-managerial
40-49,Male,Low,Assoc-acdm,Protective-serv
50-59,Any,Low,Some-college,Transport-moving
40-49,Male,Low,Some-college,Sales
20-29,Any,Low,Some-college,Tech-support
60-69,Male,High,Assoc-acdm,Sales
50-59,Any,Low,HS-grad,Prof-specialty
40-49,Male,High,Bachelors,Exec-managerial
30-39,Any,High,Bachelors,Prof-specialty
30-39,Any,Low,HS-grad,Craft-repair
20-29,Any,Low,Bachelors,Prof-specialty
30-39,Male,High,Some-college,Adm-clerical
30-39,Any,Low,Some-college,Transport-moving
30-39,Any,Low,HS-grad,Sales
60-69,Any,High,11th,Other-service
40-49,Any,High,Bachelors,Prof-specialty
40-49,Female,Low,HS-grad,Other-service
40-49,Any,High,HS-grad,Sales
50-59,Female,Low,Bachelors,Prof-specialty
50-59,Any,Low,11th,Machine-op-inspct
40-49,Male,Low,HS-grad,Adm-clerical
20-29,Female,Low,HS-grad,Other-service
30-39,Any,High,Bachelors,Exec-managerial
40-49,Female,Low,Some-college,Other-service
50-59,Male,Low,HS-grad,Transport-moving
20-29,Any,Low,HS-grad,Other-service
60-69,Any,High,Some-college,Exec-managerial
10-19,Any,Low,12th,Other-service
40-49,Any,Low,7th-8th,Machine-op-inspct
30-39,Female,Low,HS-grad,Adm-clerical
20-29,Any,Low,Assoc-voc,Machine-op-inspct
30-39,Any,Low,HS-grad,Machine-op-inspct
60-69,Male,High,Bachelors,Prof-specialty
60-69,Male,Low,9th,Exec-managerial
40-49,Female,Low,Prof-school,Adm-clerical
40-49,Any,High,Bachelors,Exec-managerial
30-39,Any,High,Masters,Prof-specialty
50-59,Any,Low,10th,Other-service
20-29,Any,Low,HS-grad,Prof-specialty
20-29,Male,Low,Some-college,Other-service
30-39,Any,Low,Assoc-voc,Tech-support
50-59,Any,High,Some-college,Adm-clerical
10-19,Male,Low,11th,Other-service
30-39,Female,Low,Some-college,Adm-clerical
20-29,Any,Low,HS-grad,Sales
20-29,Female,Low,Some-college,Other-service
10-19,Female,Low,HS-grad,Other-service
30-39,Any,High,HS-grad,Exec-managerial
30-39,Any,Low,11th,Craft-repair
20-29,Any,Low,Bachelors,Sales
20-29,Female,Low,Bachelors,Prof-specialty
40-49,Male,Low,7th-8th,Prof-specialty
40-49,Female,Low,Prof-school,Prof-specialty
50-59,Any,Low,Some-college,Exec-managerial
30-39,Any,Low,HS-grad,Tech-support
10-19,Any,Low,Some-college,Other-service
20-29,Female,Low,HS-grad,Other-service
50-59,Any,Low,1st-4th,Handlers-cleaners
10-19,Any,Low,Some-college,Adm-clerical
30-39,Male,Low,Masters,Farming-fishing
40-49,Any,High,Bachelors,Adm-clerical
60-69,Male,Low,HS-grad,Machine-op-inspct
40-49,Female,Low,HS-grad,Adm-clerical
30-39,Any,Low,11th,Craft-repair
40-49,Any,High,HS-grad,Transport-moving
40-49,Any,Low,Masters,Prof-specialty
50-59,Male,Low,Some-college,Adm-clerical
40-49,Male,High,HS-grad,Exec-managerial
40-49,Any,Low,Assoc-voc,Machine-op-inspct
50-59,Male,High,Bachelors,Exec-managerial
30-39,Any,Low,Assoc-voc,Prof-specialty
20-29,Male,Low,Bachelors,Other-service
30-39,Male,High,Some-college,Craft-repair
30-39,Any,Low,Some-college,Adm-clerical
40-49,Male,High,Masters,Exec-managerial
30-39,Female,High,Masters,Exec-managerial
30-39,Any,Low,HS-grad,Sales
50-59,Male,Low,5th-6th,Craft-repair
20-29,Any,Low,HS-grad,Transport-moving
20-29,Male,Low,Bachelors,Prof-specialty
50-59,Any,High,Doctorate,Prof-specialty
50-59,Any,Low,Some-college,Prof-specialty
30-39,Female,Low,Some-college,Protective-serv
40-49,Male,High,Masters,Prof-specialty
30-39,Male,Low,Some-college,Handlers-cleaners
10-19,Any,Low,10th,Other-service
30-39,Female,Low,Bachelors,Prof-specialty
30-39,Any,Low,HS-grad,Other-service
20-29,Any,Low,Bachelors,Protective-serv
30-39,Any,Low,Bachelors,Handlers-cleaners
20-29,Any,Low,11th,Farming-fishing
30-39,Male,High,Masters,Prof-specialty
20-29,Male,High,Masters,Sales
20-29,Any,Low,HS-grad,Handlers-cleaners
30-39,Male,High,Some-college,Craft-repair
60-69,Any,High,Assoc-acdm,Craft-repair
20-29,Any,High,Bachelors,Protective-serv
20-29,Any,Low,11th,Sales
20-29,Male,Low,1st-4th,Farming-fishing
60-69,Any,Low,Some-college,Sales
20-29,Any,Low,Some-college,Other-service
20-29,Male,Low,Some-college,Adm-clerical
30-39,Male,Low,HS-grad,Craft-repair
20-29,Male,Low,HS-grad,Adm-clerical
10-19,Female,Low,11th,Adm-clerical
20-29,Any,Low,HS-grad,Machine-op-inspct
60-69,Male,High,Prof-school,Prof-specialty
20-29,Male,Low,HS-grad,Adm-clerical
60-69,Any,High,Masters,Prof-specialty
20-29,Male,Low,HS-grad,Sales
20-29,Male,Low,Some-college,Adm-clerical
30-39,Any,Low,HS-grad,Craft-repair
20-29,Any,Low,HS-grad,Sales
30-39,Female,Low,Bachelors,Exec-managerial
70-79,Male,High,Masters,Prof-specialty
30-39,Any,Low,Some-college,Adm-clerical
10-19,Any,Low,HS-grad,Adm-clerical
40-49,Any,Low,HS-grad,Adm-clerical
20-29,Male,Low,Some-college,Craft-repair
30-39,Any,Low,HS-grad,Sales
50-59,Any,Low,HS-grad,Farming-fishing
20-29,Any,Low,HS-grad,Other-service
40-49,Male,High,Assoc-voc,Exec-managerial
50-59,Male,High,Masters,Exec-managerial
30-39,Any,High,HS-grad,Sales
20-29,Any,Low,5th-6th,Farming-fishing
50-59,Male,Low,10th,Craft-repair
30-39,Any,Low,HS-grad,Craft-repair
20-29,Male,Low,10th,Craft-repair
50-59,Any,High,HS-grad,Sales
30-39,Any,Low,HS-grad,Other-service
40-49,Male,Low,Bachelors,Tech-support
30-39,Any,Low,HS-grad,Exec-managerial
30-39,Any,Low,Assoc-voc,Other-service
20-29,Male,Low,Assoc-voc,Prof-specialty
30-39,Any,Low,Some-college,Farming-fishing
50-59,Any,Low,7th-8th,Craft-repair
30-39,Any,Low,HS-grad,Machine-op-inspct
20-29,Any,Low,Assoc-acdm,Other-service
20-29,Any,Low,HS-grad,Other-service
20-29,Female,Low,Assoc-acdm,Other-service
50-59,Male,High,Some-college,Sales
30-39,Male,High,Doctorate,Prof-specialty
30-39,Male,High,Assoc-voc,Sales
40-49,Male,Low,11th,Adm-clerical
30-39,Any,High,Assoc-acdm,Craft-repair
40-49,Any,Low,Some-college,Sales
40-49,Any,Low,HS-grad,Craft-repair
20-29,Any,Low,Some-college,Other-service
20-29,Female,Low,7th-8th,Machine-op-inspct
30-39,Any,Low,Some-college,Protective-serv
20-29,Female,Low,Bachelors,Adm-clerical
30-39,Male,High,Bachelors,Tech-support
10-19,Any,Low,Some-college,Other-service
20-29,Male,Low,HS-grad,Adm-clerical
40-49,Any,High,Masters,Prof-specialty
50-59,Any,Low,11th,Craft-repair
20-29,Male,Low,Preschool,Farming-fishing
30-39,Male,High,Some-college,Machine-op-inspct
30-39,Male,Low,1st-4th,Farming-fishing
40-49,Any,High,Bachelors,Adm-clerical
30-39,Male,High,Some-college,Craft-repair
30-39,Male,High,Some-college,Sales
40-49,Any,Low,HS-grad,Craft-repair
60-69,Any,Low,11th,Transport-moving
40-49,Male,Low,Bachelors,Prof-specialty
20-29,Female,Low,Some-college,Adm-clerical
20-29,Any,Low,HS-grad,Adm-clerical
30-39,Male,High,Bachelors,Sales
40-49,Any,High,Assoc-voc,Prof-specialty
40-49,Any,High,Some-college,Adm-clerical
30-39,Any,Low,Some-college,Prof-specialty
40-49,Male,High,Some-college,Craft-repair
40-49,Any,High,Some-college,Prof-specialty
30-39,Male,High,Bachelors,Prof-specialty
30-39,Any,Low,HS-grad,Other-service
60-69,Any,Low,7th-8th,Other-service
30-39,Female,Low,Assoc-acdm,Other-service
40-49,Female,Low,Some-college,Adm-clerical
10-19,Any,Low,HS-grad,Other-service
40-49,Any,High,Some-college,Exec-managerial
20-29,Female,Low,HS-grad,Exec-managerial
20-29,Male,Low,HS-grad,Craft-repair
30-39,Any,High,HS-grad,Craft-repair
60-69,Any,Low,HS-grad,Other-service
10-19,Male,Low,Some-college,Other-service
20-29,Any,Low,Masters,Prof-specialty
20-29,Any,Low,Bachelors,Exec-managerial
30-39,Any,High,HS-grad,Adm-clerical
30-39,Male,Low,Doctorate,Prof-specialty
20-29,Any,Low,Some-college,Priv-house-serv
30-39,Male,High,Bachelors,Sales
30-39,Male,Low,HS-grad,Handlers-cleaners
20-29,Any,Low,Some-college,Sales
30-39,Any,Low,HS-grad,Handlers-cleaners
20-29,Male,Low,Bachelors,Exec-managerial
40-49,Male,High,Some-college,Farming-fishing
40-49,Female,High,Some-college,Other-service
20-29,Male,Low,HS-grad,Craft-repair
20-29,Any,Low,HS-grad,Prof-specialty
20-29,Any,Low,Bachelors,Prof-specialty
50-59,Any,Low,1st-4th,Craft-repair
20-29,Female,Low,Some-college,Other-service
60-69,Any,High,HS-grad,Adm-clerical
10-19,Male,Low,Some-college,Handlers-cleaners
70-79,Male,Low,Assoc-voc,Machine-op-inspct
30-39,Any,Low,Some-college,Exec-managerial
20-29,Male,Low,5th-6th,Other-service
40-49,Male,High,Bachelors,Sales
30-39,Male,Low,Bachelors,Exec-managerial
30-39,Any,Low,Bachelors,Prof-specialty
40-49,Male,Low,HS-grad,Craft-repair
70-79,Any,Low,Bachelors,Prof-specialty
60-69,Male,Low,Some-college,Sales
40-49,Any,Low,HS-grad,Farming-fishing
20-29,Female,Low,Some-college,Other-service
20-29,Male,Low,HS-grad,Handlers-cleaners
50-59,Any,High,HS-grad,Craft-repair
40-49,Any,Low,HS-grad,Sales
50-59,Female,High,HS-grad,Machine-op-inspct
20-29,Any,Low,Bachelors,Prof-specialty
40-49,Any,Low,Bachelors,Prof-specialty
30-39,Any,Low,HS-grad,Adm-clerical
50-59,Male,Low,5th-6th,Other-service
10-19,Female,Low,Some-college,Other-service
30-39,Any,Low,Bachelors,Prof-specialty
40-49,Female,Low,HS-grad,Adm-clerical
30-39,Any,Low,HS-grad,Exec-managerial
30-39,Any,High,Assoc-voc,Exec-managerial
40-49,Any,Low,Some-college,Prof-specialty
10-19,Male,Low,11th,Other-service
50-59,Male,High,12th,Exec-managerial
40-49,Any,High,Some-college,Sales
20-29,Any,Low,Bachelors,Prof-specialty
30-39,Female,High,Masters,Prof-specialty
40-49,Any,Low,Bachelors,Adm-clerical
50-59,Any,Low,11th,Adm-clerical
50-59,Female,Low,Masters,Prof-specialty
40-49,Any,High,Some-college,Handlers-cleaners
20-29,Any,Low,HS-grad,Sales
40-49,Any,Low,HS-grad,Sales
30-39,Any,Low,HS-grad,Craft-repair
50-59,Any,High,Prof-school,Prof-specialty
20-29,Female,Low,5th-6th,Adm-clerical
30-39,Any,Low,HS-grad,Handlers-cleaners
20-29,Male,Low,HS-grad,Craft-repair
40-49,Any,Low,Masters,Adm-clerical
30-39,Male,Low,Assoc-voc,Transport-moving
20-29,Male,Low,HS-grad,Machine-op-inspct
40-49,Any,Low,7th-8th,Other-service
40-49,Female,Low,Bachelors,Prof-specialty
20-29,Female,Low,Some-college,Prof-specialty
20-29,Any,Low,Some-college,Adm-clerical
40-49,Any,Low,HS-grad,Transport-moving
30-39,Any,Low,Bachelors,Exec-managerial
20-29,Male,Low,11th,Sales
40-49,Female,High,5th-6th,Transport-moving
40-49,Male,High,Bachelors,Exec-managerial
40-49,Any,High,HS-grad,Exec-managerial
40-49,Male,Low,HS-grad,Craft-repair
40-49,Male,Low,HS-grad,Transport-moving
30-39,Any,High,Prof-school,Prof-specialty
20-29,Any,Low,HS-grad,Other-service
50-59,Any,Low,Bachelors,Craft-repair
40-49,Any,Low,Assoc-acdm,Adm-clerical
40-49,Any,Low,HS-grad,Transport-moving
10-19,Female,Low,11th,Other-service
10-19,Any,Low,11th,Handlers-cleaners
70-79,Male,Low,HS-grad,Adm-clerical
20-29,Male,Low,Some-college,Sales
70-79,Any,High,7th-8th,Farming-fishing
50-59,Male,High,Prof-school,Prof-specialty
30-39,Any,High,HS-grad,Craft-repair
30-39,Any,Low,Some-college,Sales
30-39,Male,Low,Some-college,Protective-serv
50-59,Male,Low,5th-6th,Transport-moving
20-29,Male,Low,Some-college,Sales
20-29,Any,Low,HS-grad,Craft-repair
20-29,Any,Low,Bachelors,Adm-clerical
40-49,Any,High,HS-grad,Craft-repair
20-29,Any,Low,Some-college,Other-service
50-59,Any,Low,Some-college,Machine-op-inspct
20-29,Female,Low,HS-grad,Handlers-cleaners
30-39,Any,High,Some-college,Adm-clerical
20-29,Any,Low,HS-grad,Other-service
40-49,Any,Low,10th,Priv-house-serv
40-49,Any,High,Some-college,Craft-repair
30-39,Any,Low,9th,Other-service
20-29,Any,Low,Bachelors,Other-service
10-19,Male,Low,HS-grad,Farming-fishing
60-69,Any,Low,10th,Other-service
50-59,Female,Low,Some-college,Adm-clerical
50-59,Any,Low,Assoc-acdm,Craft-repair
30-39,Any,Low,HS-grad,Exec-managerial
40-49,Any,High,Bachelors,Exec-managerial
50-59,Male,Low,HS-grad,Transport-moving
10-19,Female,Low,HS-grad,Prof-specialty
40-49,Any,Low,Assoc-voc,Adm-clerical
30-39,Male,Low,Some-college,Transport-moving
20-29,Any,Low,HS-grad,Protective-serv
40-49,Any,High,Bachelors,Farming-fishing
70-79,Female,Low,Some-college,Adm-clerical
30-39,Female,Low,HS-grad,Sales
20-29,Any,Low,HS-grad,Transport-moving
40-49,Any,Low,Bachelors,Machine-op-inspct
60-69,Any,Low,7th-8th,Transport-moving
40-49,Any,Low,Bachelors,Prof-specialty
60-69,Any,High,Some-college,Exec-managerial
40-49,Male,High,HS-grad,Craft-repair
20-29,Any,Low,12th,Handlers-cleaners
30-39,Female,Low,Bachelors,Exec-managerial
40-49,Any,High,Masters,Exec-managerial
40-49,Any,High,Doctorate,Prof-specialty
30-39,Any,High,Bachelors,Exec-managerial
30-39,Male,High,Assoc-voc,Transport-moving
40-49,Any,Low,HS-grad,Adm-clerical
30-39,Any,Low,Some-college,Transport-moving
20-29,Any,Low,Bachelors,Sales
50-59,Male,High,HS-grad,Craft-repair
30-39,Male,Low,Bachelors,Prof-specialty
20-29,Male,Low,Some-college,Handlers-cleaners
20-29,Female,Low,Some-college,Adm-clerical
30-39,Male,High,Masters,Prof-specialty
20-29,Male,Low,Some-college,Handlers-cleaners
40-49,Any,Low,Assoc-acdm,Adm-clerical
30-39,Any,Low,Some-college,Sales
70-79,Male,Low,Bachelors,Prof-specialty
30-39,Any,Low,HS-grad,Craft-repair
30-39,Male,Low,Some-college,Prof-specialty
30-39,Male,Low,HS-grad,Machine-op-inspct
20-29,Male,Low,7th-8th,Other-service
30-39,Any,Low,HS-grad,Sales
20-29,Male,Low,Assoc-acdm,Handlers-cleaners
10-19,Female,Low,Some-college,Sales
20-29,Male,Low,7th-8th,Farming-fishing
10-19,Female,Low,HS-grad,Sales
30-39,Male,Low,Assoc-voc,Handlers-cleaners
30-39,Any,High,Bachelors,Exec-managerial
60-69,Any,High,HS-grad,Transport-moving
30-39,Male,Low,HS-grad,Transport-moving
30-39,Male,Low,HS-grad,Transport-moving
40-49,Any,Low,HS-grad,Farming-fishing
30-39,Male,Low,9th,Craft-repair
50-59,Male,Low,HS-grad,Craft-repair
20-29,Male,Low,HS-grad,Craft-repair
20-29,Female,Low,Some-college,Other-service
40-49,Male,High,HS-grad,Prof-specialty
20-29,Female,Low,Masters,Prof-specialty
20-29,Any,Low,Some-college,Machine-op-inspct
20-29,Male,Low,10th,Transport-moving
30-39,Male,Low,Bachelors,Adm-clerical
60-69,Any,Low,HS-grad,Farming-fishing
30-39,Female,Low,Some-college,Adm-clerical
40-49,Any,Low,HS-grad,Craft-repair
40-49,Male,High,Assoc-acdm,Adm-clerical
50-59,Any,Low,HS-grad,Other-service
30-39,Any,Low,Some-college,Transport-moving
60-69,Any,Low,Bachelors,Sales
20-29,Female,Low,Assoc-acdm,Tech-support
30-39,Any,Low,Preschool,Farming-fishing
40-49,Any,High,HS-grad,Craft-repair
40-49,Any,Low,Some-college,Farming-fishing
50-59,Male,Low,HS-grad,Sales
30-39,Male,Low,Assoc-acdm,Craft-repair
40-49,Any,Low,HS-grad,Sales
30-39,Any,Low,Some-college,Machine-op-inspct
20-29,Male,Low,HS-grad,Craft-repair
50-59,Male,High,Prof-school,Prof-specialty
60-69,Any,Low,HS-grad,Prof-specialty
20-29,Any,Low,HS-grad,Machine-op-inspct
20-29,Male,Low,Some-college,Adm-clerical
20-29,Female,Low,HS-grad,Adm-clerical
20-29,Any,Low,HS-grad,Transport-moving
60-69,Female,Low,HS-grad,Other-service
20-29,Male,High,Prof-school,Prof-specialty
30-39,Any,Low,Bachelors,Transport-moving
30-39,Male,Low,HS-grad,Protective-serv
10-19,Male,Low,HS-grad,Other-service
60-69,Male,High,HS-grad,Exec-managerial
50-59,Male,High,Masters,Exec-managerial
30-39,Any,Low,HS-grad,Sales
20-29,Female,Low,Some-college,Tech-support
40-49,Any,Low,Some-college,Exec-managerial
